HH1,HH2,HH3,HH4,HH5D,HH5M,HH5Y,HH6,HH7,HH9,HH10,HH11,HH12,HH13,HH14,HH15,HH16,TOHL6,TOHL7,TOHL8,WS1,WS2,WS3,WS4,WS5,WS6A,WS6B,WS6C,WS6D,WS6E,WS6F,WS6X,WS6Z,WS7,WS8,WS9,HC2,HC3,HC4,HC5,HC6,HC7,HC7A,HC8,HC9A,HC9B,HC9C,HC9D,HC9E,HC9F,HC10A,HC10B,HC10C,HC10D,HC10E,HC10F,CD7,CD9,CD11,CD12A,CD12B,CD12C,CD12D,CD12E,CD12F,CD12G,CD12H,CD12I,CD12J,CD12K,CD13,SI1,hhweight,wlthscor,wlthind5,helevel,hhsex
45,7,2,1,22,11,2005,2,35,1,2,4,1,1,1,1,1,1,1,1,31, ,5,2,2, , , , , , , , ,22,2, ,2,21,33,33,3, , ,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,4,2,1,2,2,2,2,2,2,2,2,2,2,1,.146390722,.903872171663005,2,3,1
46,7,3,1,20,11,2005,1,44,1,5,5,2,2,1,1,3,2,0,1,11, , , ,1, , , ,D, , , , ,11,2, ,3,35,35,34,3, , ,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,4,2,1,2,1,2,1,2,2,2,2,2,2,2,.12133528,-1.12482850373561,5,3,1
47,7,4,1,17,11,2005,1,44,1,1,2,1,1,1,1,4,1,0,1,11, , , ,1,A, , , , , , , ,11,2, ,1,21,33,33,3, , ,1,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , ,1,.192464648,.42941875932696,2,3,2
48,7,5,1,19,11,2005,1,44,1,1,2,1,1,0,0,5,1,0,0,11, , , ,2, , , , , , , , ,11,2, ,2,35,35,34,3, , ,1,1,2,1,2,2,2,1,2,2,2,2,2, , , , , , , , , , , , , , , ,1,2.135001317,-.708973174138848,3,3,2
49,7,6,1,24,11,2005,1,44,1,2,2,0,0,0,0,6,0,0,0,11, , , ,1, , , , , ,F, , ,11,2, ,2,21,33,32,6,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2, , , , , , , , , , , , , , , ,1,2.20458771,.594173235098648,2,3,1
50,7,7,1,21,11,2005,2,44,1,2,6,1,1,1,1,7,1,0,1,12, , , ,1,A, , , , , , , ,22,2, ,3,35,33,33,3, , ,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,3,.079435262,.424362251261524,2,3,1
51,7,1,1,30,11,2005,1,46,1,1,3,1,1,0,0,1,1,0,0,11, , , ,2, , , , , , , , ,11,2, ,2,31,35,33,3, , ,1,1,1,1,1,1,1,1,2,2,2,2,2, , , , , , , , , , , , , , , ,1,2.532513158,-.938767744772667,4,3,2
52,7,3,1,24,11,2005,1,46,1,1,4,2,2,1,1,1,2,0,1,11, , , ,1,A, , , , ,F, , ,11,2, ,1,21,35,33,3, , ,1,1,1,1,1,2,1,1,2,2,2,2,2, , , , , , , , , , , , , , , ,2,.151347023,-.500314948482645,3,3,2
53,7,5,1,1,12,2005,1,46,1,2,5,2,2,0,0,1,2,1,0,11, , , ,2, , , , , , , , ,11,2, ,2,21,35,33,3, , ,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,5,2,1,2,1,2,2,2,1,2,2,2,2,3,.817062875,-.128967966838606,2,3,1
54,7,7,1,7,12,2005,1,46,1,2,4,1,1,1,1,1,1,1,1,11, , , ,1,A, , , , ,F, , ,12,2, ,2,21,33,33,3, , ,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,3,1,1,2,1,1,2,2,2,2,2,2,2,3,.084486302,.379754695978542,2,4,1
55,7,8,1,18,11,2005,2,46,1,2,5,2,2,0,0,1,2,0,0,31, ,8,1,1,A,B, , , ,F, , ,22,2, ,2,21,31,33,3, , ,1,1,1,1,1,2,1,1,1,2,2,2,2, , , , , , , , , , , , , , , ,3,1.172070032,.948567277782968,2,2,2
56,7,7,1,25,11,2005,2,46,1,1,4,1,1,2,2,1,1,0,2,11, , , ,1,A, , , , , , , ,12,2, ,2,21,34,33,3, , ,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,3,1,2,2,2,2,2,2,2,2,2,2,2,3,.14080236,.187077501175194,2,4,2
57,7,9,1,18,11,2005,2,46,1,2,4,2,2,1,1,1,2,0,1,41, ,6,2,2, , , , , , , , ,22,2, ,2,21,33,33,3, , ,1,1,1,1,2,2,2,1,2,2,2,2,2, , , , , , , , , , , , , , , ,3,.140722814,.909620507132801,2,3,1
58,7,2,1,22,11,2005,1,48,3, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0, , 
59,7,3,1,22,11,2005,1,48,1,2,3,1,1,1,1,1,1,0,1,11, , , ,1,A, , , , ,F, , ,11,2, ,2,35,35,33,3, , ,1,1,2,1,1,1,1,1,2,2,2,2,2, , , , , , , , , , , , , , , ,2,.188214693,-.947542941596297,4,4,1
60,7,4,1,25,11,2005,2,48,1,2,5,1,1,2,2,1,1,1,2,21, ,10,1,1,A, , , , , , , ,13,2, ,2,21,12,32,8,3, ,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,3,2,1,2,1,2,2,2,2,2,2,2,2,1,.226732785,1.47941831318761,1,3,1
61,7,1,1,1,12,2005,1,51,1,1,2,1,1,0,0,1,1,0,0,11, , , ,1, , , ,D, , , , ,11,2, ,2,35,33,31,3, , ,3,1,1,1,2,1,1,1,2,2,2,2,2, , , , , , , , , , , , , , , ,3,5.048357858,-.589782347158291,3,4,2
62,7,2,1,22,11,2005,1,51,1,2,4,1,1,1,1,2,1,1,1,11, , , ,1,A, , ,D, , , , ,11,2, ,2,35,35,33,3, , ,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,1,.104167213,-.978272481522352,5,3,1
63,7,3,1,29,11,2005,1,51,1,2,3,1,1,1,1,3,1,0,1,11, , , ,1,A, , , , , , , ,11,2, ,1,35,35,34,3, , ,1,1,2,1,1,2,1,1,2,2,2,1,2, , , , , , , , , , , , , , , ,1,.055322104,-1.0348183326006,5,3,1
64,7,4,1,29,11,2005,2,51,1,1,5,1,1,1,1,4,1,0,1,11, , , ,1,A, , , , , , , ,11,2, ,4,21,33,31,3, , ,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,1,.183641979,-.219926294922847,2,3,1
65,7,5,1,19,11,2005,2,51,1,2,3,1,1,1,1,1,1,0,1,31, ,25,2,2, , , , , , , , ,22,2, ,2,34,33,22,8,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,3,2,1,2,1,2,2,2,2,2,2,2,2,1,.181217269,1.43579843777145,1,4,1
66,7,1,1,18,11,2005,1,53,1,2,3,2,2,0,0,2,2,0,0,11, , , ,1,A, , , , ,F, , ,11,2, ,3,35,35,34,3, , ,1,1,2,1,1,1,1,1,2,2,2,1,2, , , , , , , , , , , , , , , ,1,2.039397298,-1.14079207750344,5,3,1
67,7,3,1,1,12,2005,1,53,1,2,4,1,1,1,1,2,1,1,1,11, , , ,2, , , , , , , , ,11,2, ,2,35,33,33,3, , ,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,3,1,1,1,1,2,1,1,1,2,1,2,1,1,.153712265,-.457919824098071,3,4,1
68,7,4,1,24,11,2005,2,53,1,2,2,1,1,0,0,6,1,0,0,11, , , ,2, , , , , , , , ,11,2, ,2,96,33,33,3, , ,2,1,1,1,1,1,1,1,1,2,2,1,2, , , , , , , , , , , , , , , ,1,2.484918355,-.336522007921045,3,4,1
69,7,1,1,20,11,2005,1,56,1,4,5,2,2,1,1,1,2,0,1,91,11, , ,1,A, , , , , , , ,11,2, ,3,35,35,31,3, , ,1,1,1,1,1,1,1,2,2,2,2,2,2, , , , , , , , , , , , , , , ,1,.318396093,-.825232495121901,4,4,1
70,7,2,1,18,11,2005,2,56,1,2,8,3,3,1,1,1,3,2,1,31, ,10,2,1,A, , , , , , , ,23,2, ,3,21,33,26,8,3, ,2,1,1,1,2,2,1,1,1,2,1,2,2,3,3,8,2,1,2,2,2,2,2,2,2,2,2,2,3,.231000427,1.8863302005279,1,3,1
71,7,15,1,18,11,2005,2,56,1,3,7,1,1,2,2,1,1,0,2,31, ,5,2,2, , , , , , , , ,21,2, ,4,21,33,33,8,3, ,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,6,2,1,2,2,2,2,2,2,2,2,2,2,3,.105997753,1.54620379123471,1,3,1
72,7,2,2,5,12,2005,1,59,1,1,2,1,1,1,1,1,1,0,1,11, , , ,2, , , , , , , , ,11,2, ,1,35,35,33,3, , ,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,7,.13981066,-.881601063477255,4,4,2
73,7,1,1,18,11,2005,1,59,1,1,4,1,1,1,1,1,1,0,1,11, , , ,2, , , , , , , , ,11,2, ,3,35,35,34,3, , ,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,3,.123832594,-.94767847315612,4,3,2
74,7,1,1,28,11,2005,2,59,1,2,5,2,2,1,1,1,2,0,1,12, , , ,2, , , , , , , , ,22,2, ,3,21,33,36,8,3, ,1,1,2,1,2,2,1,1,1,2,1,2,2, , , , , , , , , , , , , , , ,1,.090052669,1.92754530215044,1,4,1
75,7,1,1,26,11,2005,1,61,1,1,6,2,2,2,2,1,2,0,2,11, , , ,1,A, , , , , , , ,11,2, ,2,31,35,33,3, , ,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,1,.238525377,-.866269267909792,4,3,1
76,7,25,1,3,12,2005,2,61,1,2,5,2,2,1,1,1,2,0,1,31, ,5,2,2, , , , , , , , ,31,2, ,2,21,33,33,3, , ,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,5,1,1,1,1,2,2,2,2,2,2,2,2,1,.107109519,.951852574945693,2,2,1
77,7,22,1,22,11,2005,2,61,1,4,6,1,1,1,1,1,1,0,1,31, ,5,2,2, , , , , , , , ,22,2, ,3,21,33,33,3, , ,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,6,2,2,2,2,2,2,2,2,2,2,2,2,1,.098207456,.854033234528324,2,3,1
78,7,1,1,2,12,2005,1,63,1,1,5,2,2,1,1,1,2,0,1,61, ,30,2,1,A, , ,D, , , , ,11,2, ,2,35,35,34,3, , ,1,1,2,1,1,1,1,1,1,2,2,2,2, , , , , , , , , , , , , , , ,2,.252126043,-.905122274943186,4,4,2
79,7,2,1,28,11,2005,1,63,1,2,3,1,1,1,1,1,1,0,1,11, , , ,1,A, , , , , , , ,11,2, ,1,21,35,34,3, , ,1,1,1,1,2,1,1,1,2,2,2,2,2, , , , , , , , , , , , , , , ,1,.239252679,-.69346034043324,3,3,1
80,7,3,1,22,11,2005,1,63,3, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0, , 
81,7,5,1,15,11,2005,1,63,1,1,2,1,1,1,1,1,1,0,1,11, , , ,2, , , , , , , , ,11,2, ,1,21,33,33,3, , ,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,.112636555,.12161055884492,2,4,2
82,7,4,1,21,11,2005,2,63,1,1,3,1,1,1,1,1,1,0,1,11, , , ,2, , , , , , , , ,11,2, ,2,21,33,33,3, , ,1,1,1,1,2,1,1,1,1,2,2,1,2, , , , , , , , , , , , , , , ,1,.139841463,-.0277492684053076,2,3,2
83,7,1,1,22,11,2005,1,65,1,2,5,2,2,1,1,1,2,0,1,11, , , ,1,A, , , , ,F, , ,11,2, ,2,35,35,34,3, , ,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,7,.22730221,-.927288898064575,4,4,1
