sampleid,current_occupation,lifetime_occupation,SEX,SEXM,SEXF,AGE,agecat_wmh,age18_34,age35_49,age50_64,age65,educ,educat,ed011,ed12,ed1315,ed16,educ_cat,educ_cat4,marcat,marcoh,marswd,marnev,emp,empw,empst,emph,empr,empoth,occ_LT4,occ_cur4,str,secu,finalp1wt,finalp2wt,hhs,hhincome,income_per_capita,income_wmh,income_cat,income_cat1,income_cat2,income_cat3,income_cat4,mother_occ28,father_occ28,father_educ,mother_educ,higherparent_educ,mother_educ4,father_educ4,higherparent_educ4,mother_educ7,father_educ7,higherparent_educ7,mother_occ4,father_occ4,higherparent_occ4,spouse_lifetime_occupation,spouse_lifetime_occ4,str15
270100049500, , ,1,1,0,18,1,1,0,0,0,10,1,1,0,0,0,5,2,3,0,0,1,2,0,1,0,0,0, , ,21,1,1.60254953999874, ,2,2400,1200,.847457627118644,2,0,1,0,0, , , , , , , , , , , , , , , , ,350
270100049700, , ,1,1,0,24,1,1,0,0,0,13,3,0,0,1,0,7,3,1,1,0,0,1,1,0,0,0,0, , ,22,1,1.60254953999874, ,3,3600,1200,.847457627118644,2,0,1,0,0, , , , , , , , , , , , , , , , ,351
270100049900, , ,1,1,0,29,1,1,0,0,0,11,1,1,0,0,0,6,2,3,0,0,1,1,1,0,0,0,0, , ,22,1,1.60254953999874, ,3,6000,2000,1.41242937853107,3,0,0,1,0, , , , , , , , , , , , , , , , ,351
270100050100,13,13,0,0,1,20,1,1,0,0,0,11,1,1,0,0,0,6,2,3,0,0,1,1,1,0,0,0,0,2,2,18,1,1.05600598460682,3.58898739344281,2,9600,4800,3.38983050847458,4,0,0,0,1,12,24,12,13,13,3,2,3,7,6,7,2,2,2, , ,347
270100050200, , ,0,0,1,42,2,0,1,0,0,10,1,1,0,0,0,5,2,1,1,0,0,3,0,0,1,0,0, , ,18,2,.92827954646866, ,3,1356,452,.319209039548023,1,1,0,0,0, , , , , , , , , , , , , , , , ,347
270100050300, , ,0,0,1,34,1,1,0,0,0,14,3,0,0,1,0,7,3,1,1,0,0,1,1,0,0,0,0, , ,18,2,1.15872656674584, ,4,4536,1134,.800847457627119,2,0,1,0,0, , , , , , , , , , , , , , , , ,347
270100050400, , ,0,0,1,44,2,0,1,0,0,15,3,0,0,1,0,7,4,1,1,0,0,1,1,0,0,0,0, , ,18,2,.92827954646866, ,4,12000,3000,2.11864406779661,4,0,0,0,1, , , , , , , , , , , , , , , , ,347
270100050500,0,24,0,0,1,71,4,0,0,0,1,7,1,1,0,0,0,3,1,1,1,0,0,4,0,0,0,1,0,2,0,18,1,.594904966542916,.284113402674264,2,3480,1740,1.22881355932203,3,0,0,1,0,26,11, ,1,1,1, ,1,2, ,2,1,3,3,19,2,347
270100050600,0,14,0,0,1,62,3,0,0,1,0,10,1,1,0,0,0,5,2,1,1,0,0,4,0,0,0,1,0,2,0,18,2,.775118595657777,.440031628053732,4,4800,1200,.847457627118644,2,0,1,0,0,26,24,4,4,4,1,1,1,2,2,2,1,2,2,19,2,347
270100050700, , ,1,1,0,65,4,0,0,0,1,4,1,1,0,0,0,2,1,1,1,0,0,4,0,0,0,1,0, , ,18,1,1.22912171978826, ,2,3108,1554,1.09745762711864,3,0,0,1,0, , , , , , , , , , , , , , , , ,347
270100050800, , ,0,0,1,66,4,0,0,0,1,15,3,0,0,1,0,7,4,1,1,0,0,4,0,0,0,1,0, , ,18,2,.775118595657777, ,3,2400,800,.564971751412429,2,0,1,0,0, , , , , , , , , , , , , , , , ,347
270100050900, , ,1,1,0,69,4,0,0,0,1,19,4,0,0,0,1,7,4,1,1,0,0,4,0,0,0,1,0, , ,18,1,1.22912171978826, ,2,4800,2400,1.69491525423729,3,0,0,1,0, , , , , , , , , , , , , , , , ,347
270100051000,3,3,0,0,1,53,3,0,0,1,0,17,4,0,0,0,1,7,4,1,1,0,0,1,1,0,0,0,0,4,4,18,2,.628373846840323,.187183304195654,2,3180,1590,1.1228813559322,3,0,0,1,0,27,19,8,7,8,1,2,2,3,4,4,1,2,2,3,4,347
270100051100, , ,0,0,1,52,3,0,0,1,0,11,1,1,0,0,0,6,2,1,1,0,0,4,0,0,0,1,0, , ,18,2,.628373846840323, ,2,1440,720,.508474576271186,2,0,1,0,0, , , , , , , , , , , , , , , , ,347
270100051200, , ,1,1,0,38,2,0,1,0,0,16,4,0,0,0,1,7,4,1,1,0,0,1,1,0,0,0,0, , ,18,1,1.94675629583306, ,4,4800,1200,.847457627118644,2,0,1,0,0, , , , , , , , , , , , , , , , ,347
270100051300,0,27,0,0,1,44,2,0,1,0,0,14,3,0,0,1,0,7,3,3,0,0,1,5,0,0,0,0,1,1,0,18,2,.92827954646866,.316775960728706,3,1548,516,.364406779661017,1,1,0,0,0,23, , ,14,14,3, ,3,7, ,7,2, ,2, , ,347
270100051400,0,12,0,0,1,67,4,0,0,0,1,7,1,1,0,0,0,3,1,2,0,1,0,4,0,0,0,1,0,2,0,18,1,.775118595657777,.440031628053732,1,1548,1548,1.09322033898305,3,0,0,1,0,26,26, ,1,1,1, ,1,2, ,2,1,1,1, , ,347
270100051500,0,9,0,0,1,27,1,1,0,0,0,13,3,0,0,1,0,7,3,2,0,1,0,5,0,0,0,0,1,3,0,18,2,.98329737583061,.393760608197454,3,3600,1200,.847457627118644,2,0,1,0,0,9,19,13,13,13,3,3,3,7,7,7,3,2,3, , ,347
270100051600, , ,1,1,0,62,3,0,0,1,0,11,1,1,0,0,0,6,2,1,1,0,0,1,1,0,0,0,0, , ,18,1,1.22912171978826, ,2,8400,4200,2.96610169491525,4,0,0,0,1, , , , , , , , , , , , , , , , ,347
270100051700, , ,1,1,0,72,4,0,0,0,1,11,1,1,0,0,0,6,2,1,1,0,0,4,0,0,0,1,0, , ,18,1,.935875942102609, ,2,3600,1800,1.27118644067797,3,0,0,1,0, , , , , , , , , , , , , , , , ,347
270100051800, , ,0,0,1,64,3,0,0,1,0,7,1,1,0,0,0,3,1,1,1,0,0,4,0,0,0,1,0, , ,18,1,.775118595657777, ,2,3048,1524,1.07627118644068,3,0,0,1,0, , , , , , , , , , , , , , , , ,347
270100051900, , ,1,1,0,46,2,0,1,0,0,12,2,0,1,0,0,6,2,1,1,0,0,1,1,0,0,0,0, , ,13,2,1.23904702193867, ,4,3600,900,.635593220338983,2,0,1,0,0, , , , , , , , , , , , , , , , ,342
270100052000, , ,1,1,0,29,1,1,0,0,0,8,1,1,0,0,0,4,2,3,0,0,1,5,0,0,0,0,1, , ,13,1,1.60254953999874,2.32375299810173,2,2400,1200,.847457627118644,2,0,1,0,0,14,27,10,10,10,2,2,2,5,5,5,2,1,2, , ,342
270100052100, , ,1,1,0,41,2,0,1,0,0,12,2,0,1,0,0,6,2,1,1,0,0,5,0,0,0,0,1, , ,22,1,1.23904702193867, ,4,3600,900,.635593220338983,2,0,1,0,0, , , , , , , , , , , , , , , , ,351
270100052200, , ,1,1,0,19,1,1,0,0,0,13,3,0,0,1,0,7,3,3,0,0,1,2,0,1,0,0,0, , ,22,1,1.60254953999874,2.32375299810173,3,5760,1920,1.35593220338983,3,0,0,1,0,3,7,15,15,15,4,4,4,7,7,7,4,4,4, , ,351
270100052300, , ,0,0,1,65,4,0,0,0,1,12,2,0,1,0,0,6,2,2,0,1,0,4,0,0,0,1,0, , ,22,1,.709320534390671, ,1,1536,1536,1.08474576271186,3,0,0,1,0, , , , , , , , , , , , , , , , ,351
270100052400, , ,1,1,0,36,2,0,1,0,0,19,4,0,0,0,1,7,4,1,1,0,0,1,1,0,0,0,0, , ,12,1,1.26010798163166, ,3,5400,1800,1.27118644067797,3,0,0,1,0, , , , , , , , , , , , , , , , ,341
270100052500, , ,1,1,0,45,2,0,1,0,0,10,1,1,0,0,0,5,2,2,0,1,0,1,1,0,0,0,0, , ,12,2,1.23904702193867, ,5,4560,912,.644067796610169,2,0,1,0,0, , , , , , , , , , , , , , , , ,341
270100052600, , ,0,0,1,19,1,1,0,0,0,10,1,1,0,0,0,5,2,3,0,0,1,2,0,1,0,0,0, , ,13,2,1.17576666331564,.377302735378529,3,4800,1600,1.12994350282486,3,0,0,1,0,15,3,14,11,14,2,3,3,6,7,7,2,4,4, , ,342
270100052700,25,25,0,0,1,50,3,0,0,1,0,9,1,1,0,0,0,4,2,1,1,0,0,1,1,0,0,0,0,1,1,12,2,.833071387856489,.322526697786315,5,3600,720,.508474576271186,2,0,1,0,0,0,26,3,3,3,1,1,1,2,2,2,0,1,1,19,2,341
270100052800, , ,0,0,1,73,4,0,0,0,1,5,1,1,0,0,0,2,1,2,0,1,0,4,0,0,0,1,0, , ,12,2,.587601497999539, ,3,3960,1320,.932203389830508,2,0,1,0,0, , , , , , , , , , , , , , , , ,341
270100052900,0,15,0,0,1,68,4,0,0,0,1,0,1,1,0,0,0,1,1,2,0,1,0,4,0,0,0,1,0,2,0,13,2,.709320534390671,.30760758311948,1,2268,2268,1.60169491525424,3,0,0,1,0,14,28, ,3,3,1, ,1,2, ,2,2,2,2, , ,342
270100053000, , ,0,0,1,64,3,0,0,1,0,7,1,1,0,0,0,3,1,1,1,0,0,4,0,0,0,1,0, , ,13,2,.709320534390671, ,2,2472,1236,.872881355932203,2,0,1,0,0, , , , , , , , , , , , , , , , ,342
270100053100, , ,0,0,1,59,3,0,0,1,0,10,1,1,0,0,0,5,2,1,1,0,0,4,0,0,0,1,0, , ,13,2,.812244603160077, ,2,3612,1806,1.27542372881356,3,0,0,1,0, , , , , , , , , , , , , , , , ,342
270100053200, , ,0,0,1,33,1,1,0,0,0,11,1,1,0,0,0,6,2,1,1,0,0,3,0,0,1,0,0, , ,13,2,1.01210412089894, ,4,3600,900,.635593220338983,2,0,1,0,0, , , , , , , , , , , , , , , , ,342
270100053300, , ,0,0,1,27,1,1,0,0,0,13,3,0,0,1,0,7,3,1,1,0,0,1,1,0,0,0,0, , ,15,2,1.17354404202392, ,5,4560,912,.644067796610169,2,0,1,0,0, , , , , , , , , , , , , , , , ,344
270100053400, , ,1,1,0,48,2,0,1,0,0,11,1,1,0,0,0,6,2,1,1,0,0,1,1,0,0,0,0, , ,13,2,1.23904702193867, ,4,6000,1500,1.05932203389831,3,0,0,1,0, , , , , , , , , , , , , , , , ,342
270100053500, , ,1,1,0,23,1,1,0,0,0,12,2,0,1,0,0,6,2,3,0,0,1,1,1,0,0,0,0, , ,13,2,1.60254953999874, ,4,12000,3000,2.11864406779661,4,0,0,0,1, , , , , , , , , , , , , , , , ,342
270100053600, , ,1,1,0,53,3,0,0,1,0,12,2,0,1,0,0,6,2,1,1,0,0,1,1,0,0,0,0, , ,21,1,1.1511531904926, ,2,2400,1200,.847457627118644,2,0,1,0,0, , , , , , , , , , , , , , , , ,350
270100053700, , ,0,0,1,41,2,0,1,0,0,12,2,0,1,0,0,6,2,1,1,0,0,3,0,0,1,0,0, , ,2,2,.828310979925881, ,4,792,198,.139830508474576,1,1,0,0,0, , , , , , , , , , , , , , , , ,331
270100053800,5,5,0,0,1,45,2,0,1,0,0,12,2,0,1,0,0,6,2,1,1,0,0,1,1,0,0,0,0,4,4,2,2,.828310979925881,.320173036446035,6,3000,500,.353107344632768,1,1,0,0,0,14,23,8,8,8,2,2,2,4,4,4,2,2,2,18,2,331
270100053900, , ,1,1,0,22,1,1,0,0,0,12,2,0,1,0,0,6,2,3,0,0,1,5,0,0,0,0,1, , ,2,2,1.34000418982874, ,6,4800,800,.564971751412429,2,0,1,0,0, , , , , , , , , , , , , , , , ,331
270100054000,16,16,1,1,0,44,2,0,1,0,0,10,1,1,0,0,0,5,2,1,1,0,0,1,1,0,0,0,0,2,2,2,2,1.09399563386437,.551972811318006,5,1800,360,.254237288135593,1,1,0,0,0,9,6, , ,15, , ,4, , ,7,3,4,4,26,1,331
270100054100, , ,1,1,0,86,4,0,0,0,1,10,1,1,0,0,0,5,2,1,1,0,0,4,0,0,0,1,0, , ,2,2,.785467308550404, ,2,3120,1560,1.10169491525424,3,0,0,1,0, , , , , , , , , , , , , , , , ,331
270100054200, , ,0,0,1,76,4,0,0,0,1,7,1,1,0,0,0,3,1,1,1,0,0,4,0,0,0,1,0, , ,2,2,1.55833353728449, ,4,4080,1020,.720338983050847,2,0,1,0,0, , , , , , , , , , , , , , , , ,331
270100054300, , ,1,1,0,18,1,1,0,0,0,12,2,0,1,0,0,6,2,3,0,0,1,5,0,0,0,0,1, , ,2,2,1.34000418982874, ,4,9600,2400,1.69491525423729,3,0,0,1,0, , , , , , , , , , , , , , , , ,331
270100054400, , ,1,1,0,24,1,1,0,0,0,13,3,0,0,1,0,7,3,1,1,0,0,1,1,0,0,0,0, , ,2,2,1.34000418982874, ,3,4200,1400,.988700564971751,2,0,1,0,0, , , , , , , , , , , , , , , , ,331
270100054500, , ,0,0,1,81,4,0,0,0,1,10,1,1,0,0,0,5,2,2,0,1,0,4,0,0,0,1,0, , ,2,2,1.55833353728449, ,1,1728,1728,1.22033898305085,3,0,0,1,0, , , , , , , , , , , , , , , , ,331
